codigo;nome_cliente;telefones;loja;data_cadastro;data_aniversario;data_nascimento;ativo
13211;JOSE FERREIRA NASCIMENTO;61951526776;05 - Porto Sereno Praia;23/09/2024;21/11;;sim
13212;CAROLINE ARAUJO ROCHA;31948870371;03 - Monte Azul Brands;05/07/2026;21/01;21/01/1976;sim
13213;BRUNA CORREIA BARBOSA;85932028882;04 - Porto Leste Aux;01/08/2023;25/11;25/11/1985;sim
13214;VINICIUS SOUZA ALMEIDA;21986340929;15 - Metrô Outlet;09/01/2018;13/03;;sim
13215;RODRIGO LIMA DIAS;62951091835;07 - Serra Alta Porto;12/06/2018;17/04;17/04/1966;nao
13216;LETICIA CARVALHO CASTRO;62986619780;04 - Porto Leste Aux;07/12/2020;23/12;23/12/1994;sim
13217;HELENA BARBOSA RODRIGUES;81967614695;04 - Porto Leste Aux;02/02/2022;26/07;;nao
13218;BEATRIZ MELO ARAUJO;47985166382 / 71955672071;09 - Capital Distrito;21/11/2021;16/07;16/07/2003;sim
13219;JOAO LIMA CAMPOS;31955326055;02 - Vale Verde Brands;27/09/2025;15/12;15/12/1992;sim
13220;GUSTAVO FERREIRA ROCHA;11998192486;12 - Bairro Alto Prime;28/04/2021;10/02;10/02/1989;sim
13221;GABRIEL FERREIRA ROCHA;31924655569;06 - Campo Belo Centro;27/01/2026;16/11;16/11/2004;sim
13222;VINICIUS MARTINS PEREIRA;51982100410 / 81999380717;01 - Aurora Prime;21/08/2020;10/03;10/03/1994;nao
13223;PAULO SANTOS SANTOS;47946661338;09 - Capital Distrito;11/08/2026;18/05;18/05/1995;nao
13224;CAMILA ROCHA RIBEIRO;31922876548;11 - Cascata Distrito;15/07/2021;15/12;15/12/2006;nao
13225;JESSICA OLIVEIRA MELO;41962875746;04 - Porto Leste Aux;19/06/2026;;;nao
13226;ISABELA CASTRO RODRIGUES;11981547828;08 - Riacho Outlet;03/09/2022;;;nao
13227;DANIELA ARAUJO PEREIRA;85924654622;11 - Cascata Distrito;27/02/2023;;;sim
13228;JULIA FERREIRA CASTRO;48961689576;02 - Vale Verde Brands;09/11/2018;15/07;15/07/1981;sim
13229;THIAGO FERREIRA RODRIGUES;47911386156 / 51996708964;10 - Marina Brands;05/05/2021;03/03;;sim
13230;DANIELA RIBEIRO CARDOSO;71942925919;04 - Porto Leste Aux;27/04/2021;;;nao
13231;JOSE DIAS LIMA;11919752995;13 - Rio Claro Distrito;17/06/2026;11/06;11/06/2001;nao
13232;MARCOS SOUZA CAMPOS;51933703882;03 - Monte Azul Brands;27/08/2023;17/03;;sim
13233;MARIA OLIVEIRA TEIXEIRA;;71977873596;11/09/2021;;;sim
13234;GUSTAVO SILVA ALVES;47948128370;06 - Campo Belo Centro;24/07/2022;;;nao
13235;VITORIA ALMEIDA CORREIA;81976017729;15 - Metrô Outlet;03/12/2018;;;sim
13236;HELENA NASCIMENTO TEIXEIRA;85976459718;01 - Aurora Prime;02/08/2024;17/09;17/09/1964;sim
13237;AMANDA NASCIMENTO ROCHA;31984563284;15 - Metrô Outlet;11/11/2026;19/07;19/07/1993;nao
13238;ANA CARVALHO GOMES;61945830741;10 - Marina Brands;16/03/2026;13/02;;sim
13239;DIEGO LIMA GOMES;31996522234;10 - Marina Brands;23/10/2024;15/01;;sim
13240;JOSE RIBEIRO CORREIA;81980350593;03 - Monte Azul Brands;22/08/2026;;;sim
13241;MARIA CARVALHO ALMEIDA;71998764990;05 - Porto Sereno Praia;10/12/2021;;;sim
13242;LUCAS CORREIA MARTINS;11971377613;08 - Riacho Outlet;15/05/2019;;;sim
13243;JOSE MARTINS CORREIA;41989004264;09 - Capital Distrito;06/02/2020;25/01;25/01/1983;sim
13244;RAFAEL BARBOSA RIBEIRO;51985629767 / 41975982212;10 - Marina Brands;18/03/2026;08/08;08/08/2005;sim
13245;VINICIUS CASTRO GOMES;21981639924;01 - Aurora Prime;07/07/2020;;;sim
13246;ALINE GOMES ALMEIDA;47973084813 / 11927780152;10 - Marina Brands;10/01/2021;02/12;02/12/1981;sim
13247;CAMILA SANTOS ALVES;11919691589;08 - Riacho Outlet;10/08/2021;;;sim
13248;THIAGO RODRIGUES ROCHA;21921669033;09 - Capital Distrito;09/06/2026;;;sim
13249;DANIELA ARAUJO ALMEIDA;21924904422;15 - Metrô Outlet;09/12/2026;17/03;17/03/1955;nao
13250;AMANDA MARTINS TEIXEIRA;47943283675;12 - Bairro Alto Prime;25/04/2023;08/12;08/12/1968;sim
13251;ANA ALVES RODRIGUES;85998150089;13 - Rio Claro Distrito;02/04/2024;03/09;;sim
13252;JESSICA TEIXEIRA ROCHA;51961092549;04 - Porto Leste Aux;19/08/2018;16/03;;sim
13253;MATEUS CARVALHO GOMES;31972868153;15 - Metrô Outlet;02/11/2025;18/11;;nao
13254;MARCOS SOUZA OLIVEIRA;81911568680;05 - Porto Sereno Praia;15/04/2019;;;sim
13255;JULIA TEIXEIRA CARVALHO;;71975233748;14/08/2020;;;sim
13256;THIAGO LIMA CAMPOS;62924028521;11 - Cascata Distrito;17/10/2020;25/09;25/09/2005;nao
13257;HELENA ALVES CORREIA;41927739183;11 - Cascata Distrito;21/11/2024;03/08;03/08/2005;sim
13258;HELENA DIAS ALVES;81985738565;08 - Riacho Outlet;17/07/2022;12/04;;nao
13259;AMANDA PEREIRA CORREIA;62983773157;13 - Rio Claro Distrito;17/06/2019;05/01;;nao
13260;LARISSA ALVES LIMA;31948589222;13 - Rio Claro Distrito;15/01/2021;02/07;02/07/1964;nao
13261;JESSICA ROCHA LIMA;48992123369;11 - Cascata Distrito;28/11/2024;12/01;;sim
13262;SOFIA SILVA ARAUJO;81974483237;12 - Bairro Alto Prime;25/01/2025;24/06;24/06/1995;nao
13263;AMANDA RIBEIRO FERREIRA;81941458276;03 - Monte Azul Brands;09/07/2024;07/09;;sim
13264;PATRICIA SOUZA SILVA;81964057245;15 - Metrô Outlet;06/04/2021;;;sim
13265;DANIELA TEIXEIRA RIBEIRO;61983286118;10 - Marina Brands;05/04/2018;08/04;;sim
13266;RAFAEL ALVES NASCIMENTO;21931136210;08 - Riacho Outlet;15/02/2019;;;sim
13267;MARIA ARAUJO CARVALHO;81958210384;11 - Cascata Distrito;25/08/2021;09/06;09/06/1978;sim
13268;LUCAS MARTINS TEIXEIRA;31941381163;06 - Campo Belo Centro;11/03/2022;03/10;03/10/1961;sim
13269;CARLOS ROCHA DIAS;11928769419;03 - Monte Azul Brands;06/01/2020;24/02;24/02/1963;sim
13270;JOSE DIAS GOMES;71987475997;10 - Marina Brands;07/04/2020;15/05;15/05/2002;sim
13271;DANIELA TEIXEIRA NASCIMENTO;85925531758;03 - Monte Azul Brands;13/08/2025;03/03;03/03/1968;sim
13272;PATRICIA OLIVEIRA SANTOS;85944508020;13 - Rio Claro Distrito;21/02/2025;17/11;;nao
13273;DIEGO LIMA ARAUJO;11982883953;09 - Capital Distrito;07/07/2024;07/03;;sim
13274;MARIA BARBOSA ARAUJO;85954426565;04 - Porto Leste Aux;28/06/2020;09/07;09/07/1981;sim
13275;LUCAS MELO CAMPOS;48995836767;05 - Porto Sereno Praia;13/12/2026;;;sim
13276;FELIPE ALMEIDA MARTINS;85953385774;06 - Campo Belo Centro;08/07/2025;08/07;08/07/1985;sim
13277;ROBERTA SOUZA FERREIRA;62912057980;07 - Serra Alta Porto;12/10/2026;06/08;;sim
13278;CAMILA ARAUJO ALVES;62950763546;12 - Bairro Alto Prime;06/10/2022;20/09;20/09/2007;sim
13279;THIAGO LIMA NASCIMENTO;61921112954;04 - Porto Leste Aux;09/09/2021;;;sim
13280;DIEGO MARTINS ROCHA;61974399937;11 - Cascata Distrito;09/07/2022;19/05;19/05/1989;sim
13281;PATRICIA CARVALHO ALVES;31932479853;07 - Serra Alta Porto;07/05/2021;;;sim
13282;GUSTAVO ALVES CORREIA;51973047096;04 - Porto Leste Aux;10/12/2025;27/01;27/01/1962;sim
13283;CAMILA SANTOS ALMEIDA;81991725925;06 - Campo Belo Centro;28/04/2019;16/03;16/03/1978;nao
13284;FELIPE TEIXEIRA ARAUJO;62978426134;10 - Marina Brands;21/02/2022;;;nao
13285;DIEGO SOUZA ALVES;21996781093;08 - Riacho Outlet;23/11/2021;;;sim
13286;BEATRIZ CASTRO MELO;21942306414;08 - Riacho Outlet;28/09/2019;;;sim
13287;DIEGO LIMA CARVALHO;51941352007;10 - Marina Brands;27/09/2025;19/11;;nao
13288;FELIPE ROCHA RIBEIRO;61953088591;12 - Bairro Alto Prime;17/09/2026;09/06;;sim
13289;ISABELA ALVES SILVA;51914091304 / 81936185254;13 - Rio Claro Distrito;28/06/2023;02/11;02/11/1972;nao
13290;RODRIGO LIMA OLIVEIRA;41942676568;15 - Metrô Outlet;20/05/2026;26/07;26/07/2003;nao
13291;MARIA DIAS GOMES;61986602082 / 85959783795;15 - Metrô Outlet;08/07/2020;04/08;;sim
13292;JOSE ALMEIDA OLIVEIRA;41991921382;12 - Bairro Alto Prime;23/04/2022;10/04;;sim
13293;HELENA CASTRO MELO;31920024397;15 - Metrô Outlet;21/10/2026;;;sim
13294;LORENA SILVA NASCIMENTO;48936724311;07 - Serra Alta Porto;14/12/2021;28/12;28/12/1987;sim
13295;RODRIGO RIBEIRO DIAS;62912946418;05 - Porto Sereno Praia;11/02/2022;;;nao
13296;JOSE OLIVEIRA SILVA;11984836358;15 - Metrô Outlet;20/07/2019;03/10;;sim
13297;SOFIA FERREIRA DIAS;47927295036;13 - Rio Claro Distrito;16/06/2021;17/12;17/12/1971;sim
13298;ALINE CAMPOS ARAUJO;48955006180;07 - Serra Alta Porto;11/09/2018;12/07;;sim
13299;ANA BARBOSA SILVA;85965151888;10 - Marina Brands;08/06/2022;;;nao
13300;CAROLINE RIBEIRO SANTOS;48922637348;08 - Riacho Outlet;13/03/2026;08/05;08/05/1974;sim
13301;MARIA MELO CORREIA;41985766267;07 - Serra Alta Porto;25/11/2024;10/12;10/12/1971;sim
13302;LORENA SANTOS CASTRO;85929846570;03 - Monte Azul Brands;22/02/2025;11/12;11/12/1964;sim
13303;ISABELA ROCHA RIBEIRO;11952469747 / 21952458950;04 - Porto Leste Aux;12/10/2023;03/11;;sim
13304;PATRICIA ROCHA DIAS;48970004246;09 - Capital Distrito;23/03/2026;09/01;09/01/1965;sim
13305;PAULO CORREIA SOUZA;71976328911;04 - Porto Leste Aux;04/01/2026;20/05;;sim
13306;LUCAS LIMA GOMES;71921281403;08 - Riacho Outlet;01/06/2026;;;sim
13307;CARLOS SILVA ARAUJO;41955658874;02 - Vale Verde Brands;10/08/2025;19/03;;sim
13308;ALINE ROCHA BARBOSA;48980047079;08 - Riacho Outlet;18/06/2021;25/11;25/11/1995;sim
13309;JOAO TEIXEIRA ARAUJO;21915143563;07 - Serra Alta Porto;17/03/2020;01/11;01/11/1959;sim
13310;JOSE RODRIGUES MELO;21961494710;10 - Marina Brands;24/11/2023;;;sim
13311;MATEUS ARAUJO SILVA;48910539801;10 - Marina Brands;10/01/2022;18/07;;sim
13312;GABRIEL OLIVEIRA PEREIRA;51937760761;09 - Capital Distrito;16/10/2024;;;sim
13313;VINICIUS CASTRO DIAS;47991757436;13 - Rio Claro Distrito;14/03/2023;01/05;;sim
13314;MATEUS NASCIMENTO SOUZA;48994182252;03 - Monte Azul Brands;05/10/2023;;;sim
13315;ALINE RODRIGUES CORREIA;85927235160;02 - Vale Verde Brands;06/03/2022;;;sim
13316;BRUNA OLIVEIRA CAMPOS;71974409797;09 - Capital Distrito;13/06/2019;20/01;20/01/1988;sim
13317;PAULO RIBEIRO LIMA;61979685891;15 - Metrô Outlet;06/12/2021;28/06;28/06/1964;sim
13318;MATEUS RIBEIRO FERREIRA;62974505439;07 - Serra Alta Porto;23/03/2026;12/01;12/01/1977;sim
13319;VINICIUS CARDOSO CARVALHO;62934372414;08 - Riacho Outlet;11/11/2018;;;sim
13320;LETICIA CARVALHO NASCIMENTO;61916201943;12 - Bairro Alto Prime;13/06/2021;18/01;18/01/1995;nao
13321;RAFAEL CAMPOS CORREIA;51935845977;14 - Baixada Outlet;23/11/2024;21/05;;sim
13322;JOSE CORREIA GOMES;61936833508;15 - Metrô Outlet;19/06/2018;23/08;23/08/1960;nao
13323;MATEUS NASCIMENTO ALVES;11965903794;06 - Campo Belo Centro;04/07/2019;;;sim
13324;MARIA MELO SILVA;41918346596;06 - Campo Belo Centro;25/03/2023;07/07;07/07/2000;sim
13325;RODRIGO TEIXEIRA MELO;85916107236;15 - Metrô Outlet;05/06/2025;05/07;;sim
13326;JOAO DIAS CAMPOS;11983531820;15 - Metrô Outlet;12/11/2022;25/09;25/09/1994;sim
13327;THIAGO SILVA MELO;21970848103;14 - Baixada Outlet;22/04/2021;02/08;02/08/1970;nao
13328;FERNANDA ARAUJO NASCIMENTO;41985500338;11 - Cascata Distrito;18/02/2022;;;sim
13329;LARISSA RIBEIRO BARBOSA;71963969411;09 - Capital Distrito;27/06/2023;18/06;18/06/1991;sim
13330;SOFIA ROCHA DIAS;31990225908;05 - Porto Sereno Praia;25/11/2018;26/01;26/01/1980;sim
13331;MATEUS DIAS CASTRO;21998499068;13 - Rio Claro Distrito;05/07/2025;;;sim
13332;DIEGO SOUZA ALVES;51963617519;01 - Aurora Prime;07/10/2020;19/04;;nao
13333;ROBERTA FERREIRA GOMES;48947893292;11 - Cascata Distrito;16/11/2020;16/06;;sim
13334;VINICIUS SOUZA CARDOSO;81974060781;01 - Aurora Prime;08/01/2024;;;sim
13335;SOFIA SANTOS ARAUJO;85930132395;04 - Porto Leste Aux;12/02/2018;13/11;;sim
13336;LORENA BARBOSA MARTINS;21966873085;07 - Serra Alta Porto;05/05/2023;;;sim
13337;LORENA CARVALHO GOMES;21919768306;04 - Porto Leste Aux;04/09/2018;;;sim
13338;DIEGO LIMA MELO;62961857492;03 - Monte Azul Brands;24/02/2019;13/04;13/04/1991;sim
13339;THIAGO PEREIRA GOMES;47997950119;09 - Capital Distrito;03/05/2023;26/11;;nao
13340;CAROLINE SANTOS NASCIMENTO;81987696242;15 - Metrô Outlet;06/03/2018;06/10;06/10/1996;sim
13341;ALINE CARDOSO ALVES;31955055101 / 62966927867;06 - Campo Belo Centro;13/03/2019;28/12;28/12/1981;nao
13342;BEATRIZ FERREIRA LIMA;62994417647;10 - Marina Brands;05/02/2021;12/02;12/02/1988;sim
13343;PEDRO CORREIA ALVES;81959898724;03 - Monte Azul Brands;22/04/2026;13/04;;nao
13344;GABRIEL LIMA NASCIMENTO;47926791742;02 - Vale Verde Brands;06/01/2026;07/11;07/11/2001;nao
13345;FERNANDA FERREIRA CASTRO;47974060281;14 - Baixada Outlet;24/04/2025;03/07;;nao
13346;JOAO CAMPOS DIAS;41945725485;01 - Aurora Prime;21/12/2019;14/02;14/02/1988;nao
13347;VITORIA MELO SOUZA;11931999155;06 - Campo Belo Centro;12/12/2025;17/09;17/09/1971;sim
13348;DIEGO NASCIMENTO PEREIRA;48986612657;11 - Cascata Distrito;16/09/2021;28/10;28/10/1963;sim
13349;LARISSA ROCHA OLIVEIRA;47923433245;13 - Rio Claro Distrito;28/05/2022;02/11;;sim
13350;CAMILA SOUZA CARVALHO;21963304120;10 - Marina Brands;15/05/2020;26/02;26/02/2002;sim
13351;RAFAEL TEIXEIRA TEIXEIRA;41969038108;08 - Riacho Outlet;14/01/2018;23/01;23/01/2007;sim
13352;LETICIA ALMEIDA PEREIRA;81973301365 / 62962913289;10 - Marina Brands;14/07/2019;;;nao
13353;LETICIA SILVA TEIXEIRA;47994844716;01 - Aurora Prime;28/10/2018;;;sim
13354;LETICIA NASCIMENTO OLIVEIRA;81993304779;03 - Monte Azul Brands;08/09/2025;21/07;21/07/2000;sim
13355;VINICIUS GOMES SILVA;62981855328;11 - Cascata Distrito;13/10/2024;27/06;;sim
13356;JOAO CORREIA OLIVEIRA;11918929750;06 - Campo Belo Centro;03/01/2024;27/08;27/08/1993;nao
13357;PATRICIA NASCIMENTO CASTRO;51958505456;10 - Marina Brands;11/06/2020;;;nao
13358;PATRICIA SOUZA TEIXEIRA;41916225284;15 - Metrô Outlet;26/09/2021;08/11;08/11/1990;sim
13359;JOSE MELO RODRIGUES;31928829988;08 - Riacho Outlet;25/09/2024;19/11;19/11/1999;sim
13360;RAFAEL ALMEIDA TEIXEIRA;11944657777;12 - Bairro Alto Prime;06/11/2023;;;sim
13361;VINICIUS GOMES ROCHA;81996820109;04 - Porto Leste Aux;08/12/2019;25/11;25/11/1975;sim
13362;RODRIGO MARTINS CARVALHO;47991391603;08 - Riacho Outlet;11/09/2024;25/11;;sim
13363;MARCOS RODRIGUES LIMA;21916440134;04 - Porto Leste Aux;21/05/2026;04/08;04/08/1976;sim
13364;FERNANDA SOUZA CAMPOS;62984826536;10 - Marina Brands;03/05/2022;21/10;21/10/1992;sim
13365;JULIA OLIVEIRA BARBOSA;85961651394;07 - Serra Alta Porto;06/04/2023;;;sim
13366;CAROLINE SANTOS NASCIMENTO;21938718979;04 - Porto Leste Aux;05/06/2020;;;sim
13367;RODRIGO CARDOSO NASCIMENTO;47990180678;01 - Aurora Prime;23/03/2019;;;sim
13368;ALINE CARVALHO TEIXEIRA;85944306692;14 - Baixada Outlet;21/11/2019;14/04;14/04/1991;sim
13369;FERNANDA SANTOS CASTRO;41968510053;12 - Bairro Alto Prime;28/12/2024;07/10;07/10/1994;nao
13370;SOFIA SOUZA TEIXEIRA;21950077285;15 - Metrô Outlet;15/10/2024;28/11;;sim
13371;MARCOS RIBEIRO OLIVEIRA;85951251572;01 - Aurora Prime;27/02/2022;07/03;;sim
13372;JOSE SANTOS BARBOSA;62911880232;10 - Marina Brands;02/02/2025;13/10;;sim
13373;HELENA SANTOS OLIVEIRA;31957673661;05 - Porto Sereno Praia;03/06/2023;16/08;16/08/1967;sim
13374;PAULO CASTRO MARTINS;51968094806 / 11912536429;08 - Riacho Outlet;05/08/2025;28/09;28/09/1955;sim
13375;LETICIA GOMES OLIVEIRA;85971365880 / 85951188659;06 - Campo Belo Centro;10/02/2025;09/03;09/03/1999;nao
13376;FERNANDA DIAS SANTOS;85927091398;12 - Bairro Alto Prime;02/03/2018;14/01;14/01/1973;sim
13377;JOAO ROCHA LIMA;47958225440;03 - Monte Azul Brands;04/08/2025;;;sim
13378;SOFIA PEREIRA ARAUJO;41995771866;11 - Cascata Distrito;11/08/2024;07/01;;sim
13379;RAFAEL GOMES PEREIRA;31999942894;09 - Capital Distrito;13/11/2023;09/05;09/05/1955;nao
13380;CARLOS ARAUJO SILVA;31938777441;10 - Marina Brands;05/03/2019;08/07;08/07/1982;nao
13381;BEATRIZ SANTOS CASTRO;48988723679;14 - Baixada Outlet;12/04/2022;18/04;18/04/2006;sim
13382;JULIA FERREIRA CARDOSO;61963350604 / 31931972659;13 - Rio Claro Distrito;10/05/2026;10/11;;sim
13383;FELIPE GOMES TEIXEIRA;85921793191;05 - Porto Sereno Praia;22/05/2025;14/06;14/06/1995;sim
13384;CAMILA OLIVEIRA MARTINS;51954027421;13 - Rio Claro Distrito;21/04/2024;;;nao
13385;BEATRIZ GOMES SOUZA;31968490726;03 - Monte Azul Brands;25/06/2019;;;sim
13386;MARIA ARAUJO CAMPOS;51985360359;07 - Serra Alta Porto;09/05/2026;;;sim
13387;BRUNA OLIVEIRA SOUZA;85985114607;08 - Riacho Outlet;23/08/2020;24/10;;sim
13388;JESSICA PEREIRA ALMEIDA;61952750288;01 - Aurora Prime;27/06/2023;25/05;;sim
13389;DIEGO ALVES CARVALHO;31970814424;03 - Monte Azul Brands;07/04/2022;;;nao
13390;JULIA SANTOS FERREIRA;21991815853;14 - Baixada Outlet;24/03/2024;16/05;16/05/1965;sim
13391;JOSE FERREIRA NASCIMENTO;81922606485;08 - Riacho Outlet;27/09/2018;01/02;01/02/1970;sim
13392;LARISSA CARVALHO ARAUJO;31980561627;01 - Aurora Prime;05/03/2020;11/10;11/10/2004;nao
13393;LUCAS ALVES CORREIA;11944167432;15 - Metrô Outlet;02/06/2024;;;sim
13394;HELENA SANTOS SOUZA;11938588421;15 - Metrô Outlet;05/10/2024;21/08;;sim
13395;ROBERTA BARBOSA ROCHA;71935832797 / 11922533574;05 - Porto Sereno Praia;07/03/2021;11/11;11/11/1958;sim
13396;MARCOS CAMPOS RIBEIRO;51981447429;04 - Porto Leste Aux;01/12/2024;02/11;;sim
13397;ANA RIBEIRO CARDOSO;48930927927;06 - Campo Belo Centro;21/07/2022;;;sim
13398;ANA OLIVEIRA CORREIA;85912191203;08 - Riacho Outlet;11/02/2018;11/12;11/12/1974;sim
13399;MATEUS ALVES CARDOSO;51938299736;12 - Bairro Alto Prime;27/10/2025;13/09;;nao
13400;THIAGO NASCIMENTO TEIXEIRA;41979488218;08 - Riacho Outlet;10/03/2022;;;nao
13401;JULIA FERREIRA NASCIMENTO;85925365415;15 - Metrô Outlet;03/12/2020;;;sim
13402;PATRICIA PEREIRA SILVA;51951812835;03 - Monte Azul Brands;07/08/2019;;;nao
13403;CARLOS MELO SANTOS;48915011961;05 - Porto Sereno Praia;25/05/2018;27/02;27/02/1991;sim
13404;JOSE NASCIMENTO SOUZA;47980661418;06 - Campo Belo Centro;05/05/2022;04/12;04/12/2007;sim
13405;BEATRIZ LIMA BARBOSA;62982708948;15 - Metrô Outlet;11/11/2024;24/09;;sim
13406;GUSTAVO NASCIMENTO ARAUJO;21993988793;02 - Vale Verde Brands;08/07/2025;05/07;05/07/1963;sim
13407;RODRIGO GOMES LIMA;85913474106;08 - Riacho Outlet;26/03/2018;27/08;27/08/1973;sim
13408;LETICIA SOUZA SANTOS;11962589911 / 21959977295;13 - Rio Claro Distrito;22/02/2019;09/10;09/10/2003;sim
13409;CAMILA ROCHA ALVES;71996932493;13 - Rio Claro Distrito;27/04/2024;11/11;11/11/1977;sim
13410;ROBERTA FERREIRA OLIVEIRA;41993256856;09 - Capital Distrito;12/01/2024;;;nao
13411;GABRIEL RIBEIRO ARAUJO;47957374845;07 - Serra Alta Porto;20/03/2024;26/08;;sim
13412;DIEGO SOUZA PEREIRA;41987745734;15 - Metrô Outlet;07/02/2020;;;sim
13413;LUCAS LIMA MELO;85975588019;14 - Baixada Outlet;14/04/2022;;;sim
13414;ANA ARAUJO NASCIMENTO;71928126774 / 85983420093;10 - Marina Brands;20/12/2019;13/08;;sim
13415;PATRICIA DIAS OLIVEIRA;81939323516;15 - Metrô Outlet;11/08/2022;01/03;;nao
13416;CAMILA TEIXEIRA RIBEIRO;11975386298;03 - Monte Azul Brands;26/12/2022;;;sim
13417;THIAGO DIAS CAMPOS;21982831989;01 - Aurora Prime;16/04/2019;;;sim
13418;BRUNA SILVA SILVA;21921311167;10 - Marina Brands;04/10/2026;;;sim
13419;LORENA ROCHA ALMEIDA;71950766770;08 - Riacho Outlet;18/04/2019;18/08;;sim
13420;THIAGO NASCIMENTO MELO;21966816596;01 - Aurora Prime;15/06/2018;27/10;27/10/1965;sim
13421;GABRIEL CORREIA CASTRO;;21974312832;18/01/2023;16/07;16/07/2000;sim
13422;ALINE LIMA LIMA;47977403652;12 - Bairro Alto Prime;18/11/2024;05/06;05/06/1974;sim
13423;GUSTAVO OLIVEIRA ARAUJO;61925740762;04 - Porto Leste Aux;11/06/2020;08/02;;nao
13424;DIEGO ALVES PEREIRA;31936062197;10 - Marina Brands;27/12/2020;23/10;23/10/1955;sim
13425;PATRICIA DIAS CORREIA;62926883371;06 - Campo Belo Centro;24/08/2023;;;nao
13426;PATRICIA CASTRO CARVALHO;11938018492 / 31925689657;08 - Riacho Outlet;04/04/2020;15/10;15/10/1998;nao
13427;THIAGO CORREIA ALMEIDA;48926899251;15 - Metrô Outlet;09/04/2023;19/07;19/07/1981;sim
13428;AMANDA MARTINS DIAS;47928234118;08 - Riacho Outlet;04/12/2021;21/11;;sim
13429;RODRIGO RIBEIRO GOMES;11992832996;09 - Capital Distrito;09/07/2019;;;sim
13430;BRUNA ALMEIDA PEREIRA;48952069370;05 - Porto Sereno Praia;26/07/2021;18/09;18/09/1961;nao
13431;SOFIA NASCIMENTO OLIVEIRA;62992228649;10 - Marina Brands;04/03/2022;15/09;15/09/1966;sim
13432;CARLOS MELO SANTOS;48967421595;13 - Rio Claro Distrito;16/07/2023;05/02;05/02/2001;sim
13433;PATRICIA PEREIRA LIMA;11924194795;14 - Baixada Outlet;01/12/2022;;;sim
13434;PATRICIA CARVALHO CARDOSO;47957557253;14 - Baixada Outlet;12/09/2021;27/11;27/11/1987;sim
13435;FELIPE CARVALHO CORREIA;85954837803;04 - Porto Leste Aux;04/04/2023;16/12;16/12/2004;nao
13436;JESSICA SILVA CASTRO;41916880116;06 - Campo Belo Centro;26/11/2020;13/07;13/07/1989;sim
13437;MARCOS CAMPOS ALMEIDA;41926294101;09 - Capital Distrito;22/05/2024;;;sim
13438;LETICIA CARDOSO CARVALHO;71923628739;11 - Cascata Distrito;06/05/2023;25/07;25/07/1999;sim
13439;RAFAEL CARVALHO NASCIMENTO;71919202690;11 - Cascata Distrito;09/03/2025;01/12;;sim
13440;FELIPE SANTOS OLIVEIRA;41948882804;13 - Rio Claro Distrito;05/08/2018;;;nao
13441;VINICIUS MELO MARTINS;81920916996 / 47913872868;03 - Monte Azul Brands;16/06/2020;;;sim
13442;PAULO LIMA MARTINS;71980366944;12 - Bairro Alto Prime;12/03/2020;10/09;;sim
13443;LETICIA NASCIMENTO GOMES;47945066696;11 - Cascata Distrito;10/05/2018;10/06;10/06/1970;sim
13444;ISABELA MELO NASCIMENTO;81984378659;13 - Rio Claro Distrito;26/11/2023;;;nao
13445;VITORIA DIAS DIAS;48973646976;11 - Cascata Distrito;23/09/2024;05/05;05/05/1981;nao
13446;FERNANDA SOUZA PEREIRA;51940631031;01 - Aurora Prime;28/02/2026;23/03;;sim
13447;JOSE MELO SOUZA;31944242434;04 - Porto Leste Aux;08/02/2022;27/01;;sim
13448;MARIA SANTOS CASTRO;47971791944;13 - Rio Claro Distrito;25/03/2024;14/11;14/11/1996;nao
13449;MARCOS MARTINS BARBOSA;51942459954;05 - Porto Sereno Praia;04/07/2022;24/03;24/03/1993;sim
13450;JULIA ALMEIDA RIBEIRO;11942332445;07 - Serra Alta Porto;11/04/2020;03/12;;sim
13451;ROBERTA RODRIGUES ALVES;47950000337;11 - Cascata Distrito;06/02/2025;05/01;05/01/1980;sim
13452;JESSICA RIBEIRO OLIVEIRA;48921021652;01 - Aurora Prime;07/09/2018;20/12;20/12/1989;sim
13453;MARCOS CARDOSO GOMES;11997704339;01 - Aurora Prime;21/08/2025;21/09;;sim
13454;JULIA DIAS TEIXEIRA;51915599353;04 - Porto Leste Aux;12/02/2019;;;sim
13455;PEDRO OLIVEIRA MARTINS;85936581864;07 - Serra Alta Porto;06/09/2020;08/03;08/03/2000;sim
13456;LARISSA RIBEIRO BARBOSA;81995818438;04 - Porto Leste Aux;12/11/2024;20/08;20/08/2007;sim
13457;JOAO DIAS PEREIRA;21993997820;12 - Bairro Alto Prime;26/12/2022;12/06;;sim
13458;CARLOS MELO ALMEIDA;51913449141;13 - Rio Claro Distrito;07/02/2021;14/03;14/03/1987;nao
13459;LARISSA NASCIMENTO GOMES;51936721357 / 85948544807;15 - Metrô Outlet;19/04/2026;;;sim
13460;CAROLINE CAMPOS PEREIRA;11999064342;15 - Metrô Outlet;09/01/2019;;;sim
13461;JOSE DIAS SANTOS;47988587305;08 - Riacho Outlet;24/04/2021;23/07;;sim
13462;AMANDA MELO TEIXEIRA;71955732554 / 41924186250;02 - Vale Verde Brands;20/07/2020;14/05;14/05/1972;sim
13463;ISABELA OLIVEIRA CASTRO;61915812078;08 - Riacho Outlet;10/09/2019;;;nao
13464;VINICIUS ALVES CORREIA;51948821092;05 - Porto Sereno Praia;08/02/2021;01/09;;sim
